IHK,uang_beredar_m1,bi_rate,Kurs_rp_usd_bi
118.01,490.08,650,847.37
118.36,494.46,650,828.66
118.19,494.72,650,836.7
118.37,514.01,650,836.2
118.71,545.41,650,800.61
119.86,539.75,650,780.35
121.74,555.49,650,790.99
122.67,549.94,650,807.63
123.21,555.55,650,841.47
123.29,571.34,650,876
124.03,605.41,650,885.66
125.17,722.99,650,894.4
126.29,604.17,650,899.79
126.46,585.89,675,898.55
126.05,580.6,675,885.11
125.66,584.63,675,913.89
125.81,611.79,675,915.59
126.5,636.21,675,908.31
127.35,639.69,675,918.49
128.54,662.81,675,894.73
128.89,656.1,675,893.81
128.74,665,650,898.93
129.18,667.59,600,911.3
129.91,722.99,600,919.6
130.9,696.32,600,945.86
130.96,683.25,575,967.64
131.05,714.26,575,967.3
131.32,720.92,575,949.24
131.41,749.45,575,928.81
132.23,779.42,575,942.44
133.16,771.79,575,973.5
134.43,772.43,575,994.82
134.45,795.52,575,994.32
134.67,774.98,575,987.98
134.76,801.4,575,1002.34
135.49,841.72,575,1009.77
136.88,787.86,600,1017.18
137.91,786.55,575,999.65
138.78,810.05,575,1003.44
138.64,832.21,575,1009.52
138.6,822.88,575,967.32
140.03,858.5,575,932.3
144.63,879.99,575,924.19
146.25,855.78,575,955.78
145.74,867.71,575,1052.53
145.87,856.17,575,1081.29
146.04,870.42,575,1082.38
146.84,887.08,575,1086.28
110.992,842.68,750,1078.18
111.28,834.53,750,1069.37
111.37,853.5,750,1035.69
111.35,880.47,750,1064.6
111.53,906.73,750,1072.9
112.01,945.72,750,1113.57
113.05,918.57,750,1097.98
113.58,895.83,750,1089.92
113.89,949.17,750,1077.81
114.42,940.35,750,1066.1
116.14,955.53,775,1052.57
119,942.22,775,1027.2
118.71,918.08,775,1016.98
118.28,927.85,750,993.69
118.48,957.58,750,1010.55
118.91,959.38,750,1000.67
119.5,980.92,750,1035.95
120.14,1039.52,750,1027.83
121.26,1031.91,750,994.31
121.73,1026.32,750,1004.65
121.67,1063.04,750,1016.37
121.57,1036.31,750,993.28
121.82,1051.19,750,977.86
122.99,1055.44,750,1004.61
123.62,1046.26,725,973.76
123.51,1035.55,700,963.85
123.75,1064.74,675,988
123.19,1089.21,675,1009.99
123.48,1118.77,675,981.7
124.29,1184.33,650,987.46
125.15,1144.5,650,987.51
125.13,1135.55,525,1003.6
125.41,1126.05,500,995.89
125.59,1142.79,475,991.89
126.18,1182.73,475,1003.19
126.71,1237.64,475,985
127.94,1191.5,475,996.31
128.24,1196.04,475,1022.32
128.22,1215.86,475,1017.33
128.33,1245.93,475,1002.93
128.83,1275.89,475,990.1
129.72,1341.85,475,1002.58
130,1293.23,475,1039.88
129.91,1274.8,450,1056.14
130.08,1304.37,425,1060.63
130.09,1325.76,425,1054.4
130.35,1338.14,425,1031.64
131.28,1390.81,425,1036.71
132.1,1326.74,425,1063.12
132.32,1351.26,425,1070.5
132.58,1361.14,425,1068.49
132.71,1372.58,425,1061.57
132.99,1404.63,475,1058.69
133.77,1452.35,525,1053.56
134.14,1383.5,525,1067.22
134.07,1384.26,550,1067.6
133.83,1411.67,575,1071.29
134.2,1410.58,575,1079.17
134.56,1405.26,600,1063.6
135.39,1457.15,600,1041.54
135.83,1376.14,600,1011.97
135.72,1386.33,600,1002.1
135.87,1428.61,600,1006.52
136.47,1454.28,600,1005.29
137.4,1508.04,600,999.34
138.16,1513.52,600,986.39
138.59,1487.8,575,981.13
138.75,1475.54,550,964.42
138.37,1563.6,525,960.26
138.4,1504.16,500,959.29
138.6,1553.13,500,960.57
139.07,1565.36,500,964.1
104.33,1484.4,500,942.89
104.62,1505.49,475,919.32
104.72,1648.68,450,945.14
104.8,1576.4,450,997.99
104.87,1653.61,450,970.26
105.06,1637.75,425,979.37
104.95,1683.19,400,1023.7
104.9,1759.64,400,1059.4
104.85,1780.72,400,1074.6
